router;ip;proveedor;modelo
dbj-asw-03;10.125.19.241;;
del-hpm-00;10.150.201.28;;
dua-mvt-00;10.150.195.9;;
dyc-bni-00;10.150.198.34;;
dyc-ccd-00;10.150.196.36;;
dyc-fmt-00;10.150.196.37;;
dyc-lct-00_;10.150.196.52;;
dyv-bar-00;10150198138;;
ecz-msp-00;10.150.201.44;;
egm-asw-00;10.125.168.81;;
eji-msp-00;10.150.201.60;;
eji-trm-00;10.150.201.88;;
elc-asw-01;10.125.79.69;;
ell-mij-00;10150200187;;
epl-bae-00;10.150.201.74;;
etj-asw-00;10125185237;;
eto-msp-00;10.150.201.85;;
faj-csn-00;10.150.217.11;;
faj-ind-00;10.150.200.95;;
faj-inti-00;10.150.200.28;;
faj-mpd-00;10.150.200.90;;
flo-bpz-00;10.150.198.27;;
flo-bsp-00;10.150.198.32;;
flo-fbn-00;10.150.217.46;;
flo-fmu-00;10.150.217.26;;
flo-pdg-00;10.150.200.23;;
flo-scm-00;10.150.217.14;;
flo-tss-00;10.150.217.7;;
fti-ath-00;10.150.196.58;;
fti-cav-00;10.150.211.9;;
fti-cda-00;10.150.211.19;;
fti-cda-01;10.150.211.21;;
fti-cpr-00;10150200180;;
fti-ips-00;10.150.217.66;;
fti-rdi-00;10.150.211.3;;
fti-umb-00;10.150.217.68;;
gcros-fmt-00;10.150.196.35;;
gre-anc-00;10.150.201.50;;
gre-anc-00;10.150.201.50;;
gre-asw-02;10.125.58.117;;
gre-msp-00;10.150.201.69;;
gta-redis-00;10150212131;;
gua-pdo-00;10150200134;;
gur-pat-00;10150201215;;
gut-bnc-00;10.125.197.78;;
gut-msp-00;10.150.200.87;;
gya-inam-01;10.150.200.78;;
idu-dgn-00;10.150.197.8;;
idu-dgn-00;10.150.197.8;;
int-mij-00;10150201172;;
Isa-cne-01;10.150.200.52;;
isa-hir-00;10.150.217.37;;
isb-idi-00;10.150.200.147;;
isb-sai-00;10.150.200.158;;
itr-bae-00;10.150.201.73;;
itr-pbc-00;10.150.201.25;;
itr-ptc-00;10.150.201.86;;
jcl-adl-00;10150197143;;
jcl-cor-00;10.150.201.146;;
jcl-cpr-00;10150201188;;
jcl-hlm-00;10150197148;;
jko-mvt-00;10.150.194.5;;
jose-cpj-00;10150201160;;
jose-pcr-00;10.150.201.147;;
jud-pdra-00;10.150.201.21;;
lai-ivp-01;10150200183;;
lai-kim-00;10150200192;;
lcc-hjm-00;10.150.201.37;;
lcc-hjm-00;10.150.201.37;;
lcc-msp-00;10.150.201.91;;
lcc-tci-00;10.150.197.30;;
lda-insa-00;10.150.200.143;;
lem-uja-00;10150200153;;
lms-asw-00;172.17.49.115;;
lms-bop-00;10.150.200.39;;
lms-bop-00;10.150.200.39;;
lms-bpl-00;10.150.198.16;;
lms-bpl-00;10.150.198.16;;
lms-cav-00;10.150.211.7;;
lms-cmx-00;10.150.217.8;;
lms-coe-00;10.150.196.76;;
lms-mdm-00;10.150.217.77;;
lms-psh-00;10.150.217.43;;
lms-sai-00;10.150.217.57;;
lpg-ess-00;10.150.196.24;;
lpg-ess-00;10.150.196.24;;
lpg-fco-00;10.150.200.29;;
lpg-fna-00;10.150.200.33;;
lpg-imb-00;10.150.196.46;;
lpg-maf-00;10.150.196.48;;
lpg-mvt-01;10.150.194.15;;
lpg-mvt-02;10.150.194.34;;
lpg-pdl-00;10.150.200.24;;
lpg-qap-00;10.150.196.41;;
lpg-sqa-00;10.150.196.47;;
lrm-cav-00;10150211131;;
lrm-ucv-00;10150200144;;
lroq-asw-00;10.125.120.88;;
lsa-cne-02;10.150.217.18;;
lsa-glb-00;10.150.196.50;;
lsa-mpm-00;10.150.217.10;;
lsa-pas-00;10.150.217.41;;
lsa-slp-00;10.150.196.23;;
lsa-vtl-00;10.150.217.52;;
lsm-ufa-00;10.150.217.47;;
ltq-msp-00;10.150.200.86;;
ltq-msp-00;10.150.200.86;;
lue-mvt-00;10150195139;;
lvc-sai-00;10.150.201.97;;
lvg-asw-03;10.125.13.208;;
mac-maq-00;10150201213;;
mad-aml-00;10.150.217.21;;
mad-bde-01;10.150.198.38;;
mad-cne-03;10.150.217.75;;
mad-imc-00;10.150.200.32;;
mad-inn-00;10.150.200.88;;
mad-inn-00;10.150.200.88;;
mad-lva-00;10.150.196.61;;
mad-mpt-00;10.150.200.48;;
mad-msa-00;10.150.217.76;;
mad-sug-00;10.150.217.89;;
mat2-asw-01;10.122.11.139;;
mat-bdv-00;10150199132;;
mat-msp-00;10150201178;;
mat-sai-00;10150201165;;
mbo-ani-00;10.150.197.11;;
mbo-bme-00;10.150.199.3;;
mbo-cbe-00;10.150.197.5;;
mbo-dem-00;10.150.201.19;;
mbo-hid-00;10.150.201.31;;
mbo-hid-00;10.150.201.31;;
mbo-phc-00;10.150.201.22;;
mbo-ppp-00;10.150.201.23;;
mbo-ppp-00);10.150.201.23;;
mcc-plu-00;10.150.196.29;;
merii-vtl-00;10.150.201.79;;
mgz-asw-03;10125191188;;
mil-v91-00;10150200188;;
mir-gdh-00;10.150.200.67;;
mir-gdh-00;10.150.200.67;;
mor-cav-00;10150211130;;
mqr-log-00;10.150.217.87;;
mqt-och-00;10.150.200.49;;
mrm-asw-00;10.125.20.174;;
mrp-mvt-00;10150195149;;
mtz-bdv-00;10150199133;;
ncc-alc-00;10.150.217.16;;
ncc-eam-00;10.150.217.49;;
ncc-upl-00;10.150.200.50;;
obl-ajl-00;10.150.201.77;;
obl-sai-00;10.150.201.87;;
oli-mij-00;10.150.201.62;;
pal-fnc-00;10.150.201.38;;
pal-fnc-00;10.150.201.38;;
par2-mdf-00;10.150.212.3;;
pas-mir-01;10.150.217.34;;
pas-mvt-01;10.150.194.7;;
pas-mvt-02;10.150.194.35;;
pas-vpr-00;10.150.217.35;;
pda-asw-03;10.125.20.142;;
pde-ft3-00;10.150.196.85;;
pde-mij-00;10.150.217.50;;
pea-cpr-01;10150201201;;
pea-ibo-00;10.150.197.142;;
pea-mvt-00;10150195135;;
pfi-mvt-00;10.150.195.3;;
pfi-tex-00;10.150.197.18;;
pfi-ufm-00;10.150.201.65;;
pfi-vit-01;10.150.201.32;;
pfi-zfi-00;10.150.201.56;;
pfm-hti-00;10150197157;;
pir-cor-00;10.150.201.47;;
pir-uns-00;10.150.201.45;;
pir-uns-00;10.150.201.45;;
pmt-asw-02;10125185236;;
pmt-asw-03;10125185240;;
pmt-mvt-00;10150195150;;
pmv-vtc-00;10.150.201.53;;
pmv-vtc-00;10.150.201.53;;
pnv-asw-02;10.125.174.77;;
ppo-mpb-00;10.150.201.75;;
pre-asw-01;10.125.58.112;;
pta-pdsi-00;10150201204;;
ptc-abe-00;10150200156;;
ptc-cme-00;10.150.196.133;;
ptc-pdd-00;10.150.200.138;;
pto-bdg-00;10.121.13.147;;
pto-bni-00;10.150.199.130;;
pto-cor-00;10150201153;;
rga-bnc-01;10.150.198.9;;
rga-mpf-00;10.150.200.42;;
rsl-bfb-00;10.150.198.37;;
rsl-bfc-02;10.150.198.13;;
rsl-ccd-00;10.150.196.73;;
rsl-ccd-01;10.150.196.74;;
rsl-ccd-01;10.150.196.74;;
rsl-igl-00;10.150.196.10;;
rsl-msp-00;10.150.200.84;;
rsl-mvt-02;10.150.194.11;;
rsl-shz-01;10.150.196.22;;
rsl-sun-00;10.150.196.38;;
rsl-sun-00;10.150.196.38;;
rsl-thp-00;10.150.196.78;;
saa-ivi-02;10.150.217.3;;
saa-mvt-00;10.150.194.2;;
saa-qui-00;10.150.217.71;;
sab-ial-00;10.150.201.71;;
sat-sai-00;10.150.201.93;;
sat-v91-00;10.150.201.82;;
sbz-asw-02;10.125.55.237;;
sbz-asw-03;10.125.58.134;;
sch-mvt-00;10.150.195.10;;
scr-cor-00;10.150.201.48;;
scr-cor-00;10.150.201.48;;
scr-tci-00;10.150.197.34;;
sdg-uba-00;10150200176;;
sel-mvt-00;10150195138;;
sel-psu-00;10.150.201.157;;
sfl-fdc-00;10.150.200.159;;
sfl-goy-00;10.150.201.55;;
sfl-mdz-00;10.150.212.5;;
sgu-fog-00;10.150.200.64;;
sgu-tsj-00;10.150.217.13;;
sjm-mvt-00;10150194135;;
sle-mph-00;10.150.212.4;;
sma-ipt-00;10.150.217.4;;
sma-mcp-00;10.150.200.40;;
sma-mdf-00;10.150.211.15;;
sra-rdi-00;10150212135;;
sti-tbc-00;10.150.201.35;;
stt-csa-00;10.150.217.6;;
tca-asw-02;10.125.13.220;;
tcp-mde-00;10.150.201.169;;
tej-asw-00;10.125.79.92;;
tib-hula-00;10.150.201.27;;
tib-hula-00;10.150.201.27;;
tie-psr-00;10.150.201.151;;
tio-pds-00;10150201138;;
tmr-asw-01;10.125.20.159;;
tra-fcv-00;10.150.217.17;;
tri-grt-00;10.150.196.56;;
tyo-msp-01;10.150.200.152;;
uch-asw-02;10.125.38.130;;
umc-asw-00;10.125.20.116;;
una-v91-00;10.150.201.76;;
uni-msp-00;10.150.201.39;;
uni-pgu-00;10.150.201.70;;
uni-smo-00;10.150.197.140;;
urb-cne-01;10.150.217.55;;
urb-fah-00;10.150.192.21;;
urb-fay-00;10.150.200.60;;
urb-gcros-02;10.150.196.17;;
urb-mef-00;10.150.217.51;;
urb-mvt-01;10.150.194.25;;
urb-pai-00;10.150.196.59;;
urb-rot-00;10.150.196.25;;
urb-saf-00;10.150.196.65;;
urb-uln-00;10.150.196.33;;
vdc-mvt-02;10.150.194.132;;
vdp-pdc-00;10.150.200.133;;
vhm-msp-00;10150201177;;
vir-pvd-00;10.150.201.173;;
vol-mvt-00;10.150.194.3;;
yaq-bae-00;10150201185;;
aer-ina-00;10.150.200.2;;
ana-inc-00;10.125.201.37;;
bmt-cad-00;10.125.198.54;;
bol-cdf-00;10.124.114.22;;
bol-int-00;10.125.198.43;;
bol-ivss-00;10.125.198.89;;
bol-pol-00;10.125.201.27;;
bto-gla-00;10.125.198.95;;
cal-mvt-00;10.125.200.14;;
cal-mvt-01;10.125.200.15;;
cao-bex-00;10.125.197.74;;
cao-cga-00;10.125.198.81;;
cao-mercal-00;10.125.201.17;;
cao-mpb-00;10.125.198.32;;
cao-mppct-00;10.125.198.94;;
cao-mtc-00;10.124.114.28;;
cbo-inc-00;10.125.201.54;;
cbp-asw-00;10.121.13.174;;
cch-ife-00;10.150.200.19;;
cco-sef-00;10.125.198.70;;
ccs-asn-00;10.125.198.76;;
ccs-bde-00;10.121.10.177;;
ccs-bex-00;10.125.197.75;;
ccs-mci-00;10.125.198.88;;
ccs-mercal-00;10.125.201.18;;
ccs-mfi-00;10.125.198.53;;
ccs-mij-00;10.125.198.55;;
ccs-mppct-00;10.125.198.93;;
ccs-mppti-00;10.125.198.47;;
ccs-tsj-00;10.125.198.52;;
chc-bag-00;10.150.198.3;;
chc-bbi-00;10.125.197.68;;
chc-bca-00;10.150.198.6;;
chc-bex-00;10.125.197.50;;
chc-ccd-00;10.125.197.53;;
chc-cne-00;10.150.200.30;;
chc-dyc-00;10.125.201.24;;
chc-ifx-00;10.125.201.74;;
chc-inv-00;10.150.200.11;;
chc-mop-00;10.125.198.79;;
chc-oni-fsu-00;10.124.114.2;;
chc-snt-00;10.124.114.6;;
chc-vif-01;10.150.196.3;;
clg-asw-01;10.125.30.139;;
clm-can-00;10.125.199.11;;
clm-dim-00;10.125.199.10;;
cmc-udc-00;10.125.198.56;;
cnt-bme-00;10.125.197.56;;
cnt-cga-00;10.125.198.80;;
cnt-corporativa-00;10.125.107.91;;
cnt-edc-00;10.125.198.33;;
cnt-mppti-00;10.125.198.46;;
cri-mvt-00;10.125.200.96;;
crp-asw-fsu-00;10123228133;;
cum-udo-00;10.125.198.71;;
del-luz-01;10.150.201.3;;
eji-pdi-00;10.150.201.2;;
faj-csd-00;10.150.200.21;;
flo-biv-00;10.124.114.30;;
gcros-bac-00;10.125.197.55;;
gya-ing-00;10.150.200.7;;
int-pts-00;10150201130;;
jar-ice-00;10.125.198.97;;
lag-asw-fsu-00;10122195138;;
lba-bcv-00;10.125.197.47;;
lba-bdv-00;10.125.197.24;;
lms-bdt-01;10.125.197.31;;
lms-bfc-01;10.125.125.72;;
lms-biv-00;10.125.197.66;;
lms-esp-00;10.125.201.79;;
lms-inea-00;10.125.198.31;;
lms-oni-fsu-00;10.124.114.3;;
lms-sid-00;10.150.200.14;;
lms-yvk-00;10.150.200.12;;
lpg-bag-00;10.150.198.4;;
lpg-ivss-00;10.125.198.78;;
lpg-sca-00;10.150.196.6;;
lsa-avn-00;10.150.200.5;;
lsa-bdv-00;10.125.197.16;;
lsa-corporativa-00;10.125.107.92;;
lsa-dtv-00;10.125.201.61;;
mad-bde-00;10.125.197.34;;
mad-cne-00;10.125.198.67;;
mad-mde-00;10.125.198.60;;
mad-mij-00;10.125.198.57;;
mad-mre-00;10.125.198.59;;
may-bcv-00;10.125.197.46;;
may-bvi-00;10.125.198.68;;
may-ini-00;10.125.198.87;;
mbo-bcv-00;10.125.197.9;;
mbo-bdv-00;10.125.197.20;;
mbo-bdv-01;10.125.197.80;;
mbo-pcd-00;10.124.114.17;;
mcc-int-00;10.125.198.44;;
mer-asw-fsu-00;10122195149;;
merii-inc-01;10.125.201.67;;
merii-ula-00;10.125.198.72;;
mil-bdv-00;10150198131;;
mil-platco-00;10.125.201.62;;
mor-pqv-00;10150200131;;
mun-bdv-00;10.125.197.18;;
ncc-uns-00;10.150.200.4;;
par2-rcp-00;10.125.66.130;;
par-unet-00;10.125.198.61;;
pfi-bjc-00;10.125.198.82;;
pfi-inc-00;10.125.201.33;;
pir-ula-00;10.125.198.73;;
platco-gcros-00;10.125.201.15;;
plc-asw-fsu-03;10.123.217.153;;
pma-ice-00;10.125.198.98;;
ptc-bna-00;10.125.198.83;;
pto-cvg-00;10.125.201.19;;
rcg-asw-fsu-00;10122195141;;
rga-iso-00;10.150.200.17;;
rsl-bbi-00;10.125.197.59;;
rsl-bcr-00;10.125.197.60;;
rsl-bdt-02;10.125.197.30;;
rsl-bdt-03;10.125.197.62;;
rsl-bex-00;10.125.197.51;;
rsl-bfc-00;10.124.114.12;;
rsl-biv-01;10.125.107.72;;
rsl-biv-02;10.125.197.67;;
rsl-ccd-00;10.125.197.57;;
rsl-rcp-00;10125107189;;
rsl-sds-00;10.150.200.20;;
san-asw-fsu-00;10123241140;;
scm-asw-fsu-00;10122195140;;
scr-sof-00;10.125.197.69;;
sfa-une-00;10.125.198.90;;
sle-bbi-00;10.125.197.64;;
sle-bdv-00;10.125.197.21;;
sle-rcp-00;10.125.42.112;;
smm1-fdc-00;10.150.201.11;;
smm1-fdc-01;10.150.201.16;;
snc-uib-00;10.124.114.26;;
sra-inc-00;10.125.201.53;;
tov-asw-fsu-00;10.122.195.142;;
trc-bod-00;10.121.13.157;;
trc-bod-01;10.121.13.169;;
trp-bod-00;10.121.13.162;;
trp-bod-01;10.121.13.163;;
tru-ula-00;10.150.201.15;;
urb-cdf-00;10.125.101.67;;
urb-cmd-00;10.125.201.45;;
urb-sit-00;10.125.198.75;;
urd-bcv-00;10.125.197.10;;
vra-inc-00;10.125.201.55;;
vra-rcp-00;10.125.57.88;;
vra-vvi-00;10.150.201.14;;
